53,20
53,166
76,325
76,446
76,426
76,370
98,311
98,320
98,345
98,404
98,464
98,208
98,225
99,262
102,131
113,165
148,45
148,145
148,365
169,280
169,444
170,432
170,294
174,400
174,251
187,131
195,421
195,47
195,143
223,200
223,219
223,230
227,487
231,456
231,294
231,146
239,294
278,249
278,407
284,18
297,325
297,446
297,426
297,370
303,280
303,444
317,456
317,294
326,429
326,425
330,72
338,38
373,200
373,43
377,456
394,325
394,446
394,426
394,370
398,325
398,446
398,426
398,370
398,10
398,315
401,219
401,144
401,235
438,18
447,340
447,400
447,18
459,361
463,209
463,147
463,417
483,429
483,425
